_id,OBJECTID,HASTUS,DESCRIPTION,STREETNAME,NEAREST_CROSS_STREET,EASTING,NORTHING,LATITUDE,LONGITUDE,SUBURB,BUS_STOP_TYPE,TACTILE_GROUND_SURF_INDICAT_Y_N,BOARDING_POINT,ROAD_GRADIENT,CROSS_FALL,DATE_OF_LAST_AUDIT,x,y
1409,1409,3103,Brockhouse Street - 77,Dawson Rd,Brockhouse St,508589.9831,6952190.061,-27.55407817,153.0870098,UPPER MOUNT GRAVATT,2 - Intermediate,Y,Easy,Medium,Medium,10/6/2017 0:00,508589.9831,6952190.061
1410,1410,3105,Gerty Street - 79,Dawson Rd,Gerty St,508040.3985,6952282.826,-27.55324408,153.0814423,UPPER MOUNT GRAVATT,4 - Regular,N,Hard,Easy,Easy,,508040.3985,6952282.826
1411,1411,3106,Gerty Street - 79,Dawson Rd,Gerty St,508028.8255,6952297.216,-27.55311423,153.081325,UPPER MOUNT GRAVATT,2 - Intermediate,Y,Easy,Easy,Easy,10/6/2017 0:00,508028.8255,6952297.216
1412,1412,3107,Gurney Street - 78,Dawson Rd,Barkoola St,508351.1951,6952243.046,-27.55360132,153.0845907,UPPER MOUNT GRAVATT,2 - Intermediate,Y,Easy,Easy,Medium,10/6/2017 0:00,508351.1951,6952243.046
1413,1413,3112,Lumley Street - 76A,Lumley St,Wemvern St,508712.9837,6952282.438,-27.55324341,153.088255,UPPER MOUNT GRAVATT,2 - Intermediate,Y,Medium,Easy,Easy,3/7/2019 0:00,508712.9837,6952282.438
1414,1414,3113,Lumley Street - 76A,Wemvern St,Lumley St,508750.0723,6952315.161,-27.55294776,153.0886305,UPPER MOUNT GRAVATT,3 - Regular with seat,Y,Easy,Easy,Easy,9/29/2022 12:00:00 AM,508750.0723,6952315.161
1415,1415,3115,Zetland Street - 76,Wemvern St,Zetland St,508780.6147,6952497.891,-27.55129789,153.0889385,UPPER MOUNT GRAVATT,2 - Intermediate,Y,Easy,Hard,Medium,10/19/2017 12:00:00 AM,508780.6147,6952497.891
1416,1416,3117,Wanda Street - 75,Wemvern St,Sunnydale St,508813.5877,6952695.134,-27.54951699,153.0892711,UPPER MOUNT GRAVATT,2 - Intermediate,Y,Medium,Easy,Easy,3/7/2019 0:00,508813.5877,6952695.134
1417,1417,3120,Tolson Street - 75,Newnham Rd,Tolson St,509024.3459,6952725.029,-27.54924572,153.0914056,UPPER MOUNT GRAVATT,2 - Intermediate,Y,Easy,Medium,Medium,8/2/2019 0:00,509024.3459,6952725.029
1418,1418,3122,Wishart West Newnham Road,Newnham Rd,Zetland St,508976.5296,6952428.805,-27.55192031,153.0909234,UPPER MOUNT GRAVATT,2 - Intermediate,Y,Easy,Medium,Medium,10/19/2017 12:00:00 AM,508976.5296,6952428.805
1419,1419,3124,Wishart West Newnham Road - 76,Newnham Rd,Zetland St,508960.6223,6952425.459,-27.55195063,153.0907623,UPPER MOUNT GRAVATT,2 - Intermediate,Y,Easy,Easy,Easy,9/16/2016 12:00:00 AM,508960.6223,6952425.459
1420,1420,3125,Tolson Street - 75,Newnham Rd,Tolson St,509007.1938,6952701.76,-27.54945591,153.091232,UPPER MOUNT GRAVATT,2 - Intermediate,Y,Easy,Medium,Easy,12/15/2022 12:00:00 AM,509007.1938,6952701.76
1421,1421,3126,Newnham Rd - 74/44,Wishart Rd,Newnham Rd,508989.8,6952958.7,-27.5471364,153.0910539,UPPER MOUNT GRAVATT,2 - Intermediate,N,Medium,Medium,Medium,,508989.8,6952958.7
1422,1422,3128,Newnham Rd - 44/74,Wishart Rd,Newnham Rd,508982.8,6952972,-27.54701637,153.0909829,UPPER MOUNT GRAVATT,2 - Intermediate,N,Medium,Easy,Medium,,508982.8,6952972
1423,1423,3131,Barford Street - 38,Tarrangindi Rd,Barford St,503214.5787,6954320.72,-27.53486624,153.0325555,MOOROOKA,4 - Regular,N,Hard,Easy,Easy,,503214.5787,6954320.72
1424,1424,3134,Bracken Ridge Library,Barrett St,Tallara St,503911.1109,6978234.586,-27.318969,153.0395326,BRACKEN RIDGE,4 - Regular,Y,Easy,Medium,Medium,6/20/2017 12:00:00 AM,503911.1109,6978234.586
1425,1425,3135,Barrett Street - 37,Barrett St,Tallara St,503889.5897,6978223.902,-27.31906551,153.0393151,BRACKEN RIDGE,4 - Regular,Y,Medium,Easy,Easy,6/14/2018 12:00:00 AM,503889.5897,6978223.902
1426,1426,3136,Bracken Ridge Library Bracken Street,Bracken St,Barrett St,503783.9775,6978285.941,-27.31850571,153.0382474,BRACKEN RIDGE,2 - Intermediate,Y,Easy,Hard,Medium,3/1/2023 0:00,503783.9775,6978285.941
